City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
183,Hurukamappu Yuzhno-Kurilsk,RU,44.0270756,145.8613722,63.14,76,84,11.77,2023-09-24 20:35:47
184,Basoko,CD,-3.291524,17.460055783543147,74.39,81,23,1.92,2023-09-24 20:35:48
185,Popondetta,PG,-8.7667424,148.2375057,82.44,74,100,3.94,2023-09-24 20:35:48
186,Kijang,ID,0.8501915,104.6027532,83.48,72,97,14.18,2023-09-24 20:35:49
187,Goldsboro,US,35.3848841,-77.9927651,69.26,94,0,0.0,2023-09-24 20:35:50
188,Valdivia,CL,-39.8141262,-73.2459859,37.49,99,4,1.83,2023-09-24 20:35:50
189,Whitecourt,CA,54.1424574,-115.6846504,51.03,62,20,0.0,2023-09-24 20:35:51
190,Al Kharijah,YE,15.35954,44.21674,67.46,32,12,7.99,2023-09-24 20:35:51
191,Omdurman,SD,15.6445536,32.4777311,88.12,50,100,20.18,2023-09-24 20:35:52
192,Mitsamiouli,KM,-11.3888547,43.2930126,71.87,88,20,3.44,2023-09-24 20:35:52
193,Sovetskiy,RU,61.362099,63.57354,57.88,77,14,8.99,2023-09-24 20:35:53
194,Cañete,ES,40.041797,-1.6490269,58.3,48,12,5.21,2023-09-24 20:35:53
195,Panaba,GW,12.1372516,-16.0390539,77.25,90,22,2.84,2023-09-24 20:35:54
196,Sosnovka,RU,56.2573802,51.2842677,57.96,54,0,5.28,2023-09-24 20:35:54
197,City of Mount Gambier,AU,-37.8246698,140.7820067624113,61.41,66,61,10.89,2023-09-24 20:35:55
198,Town of Slave Lake,CA,55.2810741,-114.7717876,46.4,87,0,3.44,2023-09-24 20:35:55
199,Maan,JO,30.2,35.7333329,68.18,33,0,1.99,2023-09-24 20:35:56
200,Cabo San Lucas,MX,22.8938884,-109.9200604,89.6,55,0,4.61,2023-09-24 20:35:56
201,Nagqu,CN,31.4786233,92.0498064,54.16,48,60,14.25,2023-09-24 20:35:57
202,Vorga-Shor,RU,67.581192,63.783737,44.44,80,100,9.82,2023-09-24 20:35:57
203,Yuxi,CN,30.9182867,111.9278808,69.73,76,98,9.13,2023-09-24 20:35:58
204,Enewetak,MH,11.3408906,162.3245486,83.89,78,100,11.48,2023-09-24 20:35:59
205,Puerto Deseado,AR,-47.7516166,-65.9013234,44.19,63,76,10.33,2023-09-24 20:35:59
206,Hadiboh,YE,12.651236,54.0236598,81.3,78,33,14.09,2023-09-24 20:36:00
207,Amarante,PT,41.2699316,-8.0804563,64.11,59,5,3.29,2023-09-24 20:36:00
208,Soe küla,EE,58.211850850000005,25.9364387637133,46.22,93,31,6.6,2023-09-24 20:36:01
209,Obigarm,TJ,38.7182807,69.7134525,60.87,42,7,2.01,2023-09-24 20:36:01
210,Jasło,PL,49.746962749999994,21.493576018400987,53.22,95,92,1.86,2023-09-24 20:36:02
211,Cole Harbour,CA,45.2593736,-61.2699661,51.62,92,100,5.01,2023-09-24 20:36:02
